,prices,market_caps,total_volumes,dates
1718,0.32697616278820824,16311357746.340384,1337552250.3920174,2022-09-16 00:00:00.000
1719,0.3571830539290055,17805028262.431942,1261958274.6868336,2022-09-17 00:00:00.000
1720,0.37553542587688626,18707608411.82521,1427789277.6753604,2022-09-18 00:00:00.000
1721,0.36011169122072584,18019337973.339752,2096753184.2942493,2022-09-19 00:00:00.000
1722,0.3884003338636591,19262269100.349785,2475380016.1667495,2022-09-20 00:00:00.000
1723,0.4146975478487356,20670126868.42153,3389711446.2201285,2022-09-21 00:00:00.000
1724,0.3987516860564047,19846510864.63612,2923866454.0464396,2022-09-22 00:00:00.000
1725,0.4870596202359753,24224069872.3676,4345510563.239003,2022-09-23 00:00:00.000
1726,0.5055469016261381,25349689054.64032,6851174094.822689,2022-09-24 00:00:00.000
1727,0.4896121534995437,24456632305.120796,3174509674.0623307,2022-09-25 00:00:00.000
1728,0.49382068441299476,24659902343.985435,3076786928.7829022,2022-09-26 00:00:00.000
1729,0.4675847993795477,23303350158.12698,2761704681.577815,2022-09-27 00:00:00.000
1730,0.44973875957430093,22484461714.6888,2605483194.233198,2022-09-28 00:00:00.000
1731,0.4523199977661284,22620371849.260277,2399425239.0694294,2022-09-29 00:00:00.000
1732,0.48549735837132674,24160534854.875744,2979531131.3341985,2022-09-30 00:00:00.000
1733,0.48018560714113456,23954591313.39305,2972868272.42752,2022-10-01 00:00:00.000
1734,0.47496133042485,23685517249.644085,1408593745.5803168,2022-10-02 00:00:00.000
1735,0.45025632995366566,22548990353.11134,1408392767.9237182,2022-10-03 00:00:00.000
1736,0.46261651515402924,23133346946.76287,1739336470.5764768,2022-10-04 00:00:00.000
1737,0.48035597545822456,23940005839.731785,2038303645.0219688,2022-10-05 00:00:00.000
1738,0.49018876836815045,24463171586.90248,2280930102.1680975,2022-10-06 00:00:00.000
1739,0.4935510217263323,24626852233.603928,1784282944.3489885,2022-10-07 00:00:00.000
1740,0.5160327262732206,25843445398.10576,2249633454.4159307,2022-10-08 00:00:00.000
1741,0.5166455189625007,25751005671.692387,1610134699.361302,2022-10-09 00:00:00.000
1742,0.5342292366286716,26622398815.99551,1653702361.1252923,2022-10-10 00:00:00.000
1743,0.4973242512168488,24835054251.926365,2164911186.1609306,2022-10-11 00:00:00.000
1744,0.48533425502176925,24198543433.748207,2176382497.818888,2022-10-12 00:00:00.000
1745,0.4880393259972368,24372617617.304382,1366104521.1582768,2022-10-13 00:00:00.000
1746,0.4808330688637784,24045617337.58696,2784181355.3019977,2022-10-14 00:00:00.000
1747,0.48872027306582744,24366649108.626354,2121123366.6408682,2022-10-15 00:00:00.000
1748,0.48202686508349174,24078700455.34395,798628206.3475759,2022-10-16 00:00:00.000
1749,0.4766938429740172,23783757576.55461,966732867.985011,2022-10-17 00:00:00.000
1750,0.48065426232884206,23992818375.128853,1417504115.521878,2022-10-18 00:00:00.000
1751,0.4668408131092937,23309738544.1798,1309409841.9060183,2022-10-19 00:00:00.000
1752,0.45108342840066135,22499563476.753716,1518939369.798926,2022-10-20 00:00:00.000
1753,0.4475857270550886,22305568615.86945,1800114950.362331,2022-10-21 00:00:00.000
1754,0.4610825481618852,23003431881.17114,1712778421.4866312,2022-10-22 00:00:00.000
1755,0.4656755212931661,23214185274.98662,912940134.4613929,2022-10-23 00:00:00.000
1756,0.4692781812601062,23368720307.600094,995497789.5121337,2022-10-24 00:00:00.000
1757,0.45271572046883046,22601387269.0849,1356662232.60071,2022-10-25 00:00:00.000
1758,0.4610277301114104,23030839580.351795,1689657453.9438188,2022-10-26 00:00:00.000
1759,0.4690482574175606,23479164280.20445,1565980824.0310557,2022-10-27 00:00:00.000
1760,0.4623407900423064,23163065596.091656,1860834302.8238714,2022-10-28 00:00:00.000
1761,0.4728780103227727,23647471398.294582,1353826346.238948,2022-10-29 00:00:00.000
1762,0.46876476031677705,23467642103.025345,1521168003.4484463,2022-10-30 00:00:00.000
1763,0.45750451953412374,22902197620.77545,1045064808.3506737,2022-10-31 00:00:00.000
1764,0.46501747211731354,23224524935.39032,1602014607.304093,2022-11-01 00:00:00.000
1765,0.4642729057613325,23248404094.12417,1431760457.2526631,2022-11-02 00:00:00.000
1766,0.4513827988804672,22626151059.175068,1524489627.5072906,2022-11-03 00:00:00.000
1767,0.45510342141581417,22780070699.42792,1222014267.347436,2022-11-04 00:00:00.000
1768,0.5020577520809391,25226441321.76689,3011375714.152464,2022-11-05 00:00:00.000
1769,0.49300892862095813,24797324782.66233,1308897160.5093763,2022-11-06 00:00:00.000
1770,0.47086252498516856,23668541342.756855,1031713111.6175143,2022-11-07 00:00:00.000
1771,0.4660747931757319,23384940963.22353,1755549936.0349088,2022-11-08 00:00:00.000
1772,0.40872139243654976,20601640289.624653,3706738060.4740987,2022-11-09 00:00:00.000
1773,0.33170407746269504,16605761205.84244,3241614924.1969767,2022-11-10 00:00:00.000
1774,0.39896690885411007,19989322488.392494,3217259210.9583864,2022-11-11 00:00:00.000
1775,0.3896264895691673,19478630558.9855,1861507915.395455,2022-11-12 00:00:00.000
1776,0.36658574825492024,18371602318.29175,1003463771.3330681,2022-11-13 00:00:00.000
1777,0.3417074995436799,17086304271.575174,1118704703.3493285,2022-11-14 00:00:00.000
1778,0.37754516418942985,18989205360.444775,2595659777.0692306,2022-11-15 00:00:00.000
1779,0.39063596815761875,19639994952.653553,2081487497.975052,2022-11-16 00:00:00.000
1780,0.378098097621922,18970779255.099026,1372852887.9511876,2022-11-17 00:00:00.000
1781,0.3841956301573169,19303982424.42455,1402527156.5683973,2022-11-18 00:00:00.000
1782,0.38462647516151854,19357565131.27626,986101847.6468065,2022-11-19 00:00:00.000
1783,0.38668997247083425,19448735815.09945,569755684.8419449,2022-11-20 00:00:00.000
1784,0.36437486576706085,18311817579.162518,1052428346.706693,2022-11-21 00:00:00.000
1785,0.367583115604242,18495233972.438004,1780013171.2711096,2022-11-22 00:00:00.000
1786,0.37655810489095154,18989891837.637455,1485466338.8330631,2022-11-23 00:00:00.000
1787,0.3833062814501991,19284896098.646187,1174797641.9319808,2022-11-24 00:00:00.000
1788,0.4038237448074739,20296568045.362335,1423798508.9230359,2022-11-25 00:00:00.000
1789,0.4106132467603584,20680013254.503643,1479657670.1579742,2022-11-26 00:00:00.000
1790,0.39869918031896884,20049161326.728134,693914954.5763754,2022-11-27 00:00:00.000
1791,0.39901892749989815,20105943755.220665,720248826.0615702,2022-11-28 00:00:00.000
1792,0.3915898959103989,19693656670.174088,1402123354.6749592,2022-11-29 00:00:00.000
1793,0.3997957534980851,20106137882.34614,1140526999.0102472,2022-11-30 00:00:00.000
1794,0.4111918971610414,20719087977.17768,1083227863.165195,2022-12-01 00:00:00.000
1795,0.39858580461137,20031963631.717594,858081595.7050642,2022-12-02 00:00:00.000
1796,0.398615834145069,19969808623.71558,888235349.9074985,2022-12-03 00:00:00.000
1797,0.3898651923416876,19674166663.67257,533721848.1149885,2022-12-04 00:00:00.000
1798,0.3927017597255727,19722117911.690456,491979075.1387994,2022-12-05 00:00:00.000
1799,0.3907786665135361,19651351254.574913,1057341827.3438631,2022-12-06 00:00:00.000
1800,0.39237805309459417,19722550803.507057,934598154.6602762,2022-12-07 00:00:00.000
1801,0.3844779242127989,19328530509.12746,959854684.2095537,2022-12-08 00:00:00.000
1802,0.3949164182037001,19854852002.13049,879857521.4372247,2022-12-09 00:00:00.000
1803,0.39022389211734576,19664656225.08729,801611082.0733637,2022-12-10 00:00:00.000
1804,0.387759799248256,19506256516.587887,359503303.73512286,2022-12-11 00:00:00.000
1805,0.3828656934365775,19283214294.09726,395120823.42169726,2022-12-12 00:00:00.000
1806,0.3878258918092492,19594256739.870327,1049862565.8762822,2022-12-13 00:00:00.000
1807,0.39501394093007414,19922570552.08643,1355988500.8515296,2022-12-14 00:00:00.000
1808,0.3867035852022032,19501737942.722557,1043286573.294691,2022-12-15 00:00:00.000
1809,0.3779085576571648,19073834524.492348,819703826.1357329,2022-12-16 00:00:00.000
1810,0.3533298415240543,17743456573.2856,1170831763.1244187,2022-12-17 00:00:00.000
1811,0.3558315325555913,17909121465.34917,654553881.8687989,2022-12-18 00:00:00.000
1812,0.3507100714134827,17712497955.34908,347030394.0865117,2022-12-19 00:00:00.000
1813,0.3392138774124123,17095617572.635395,1118134740.0353682,2022-12-20 00:00:00.000
1814,0.35002389021623753,17641489469.68155,1027632998.1097451,2022-12-21 00:00:00.000
1815,0.3465697645918239,17435599303.21308,858615195.2521,2022-12-22 00:00:00.000
1816,0.3500778912764361,17620195062.76461,780045315.5394924,2022-12-23 00:00:00.000
